GEOID,MSA,year,income10lo,income10_15,income15_25,income25_35,income35_50,income50_75,income75_100,income100_150,income150_200,income200up,income_median,income_mean
3100000US11340,11340,2006,9.5,8.5,13.6,11.6,17.1,17.6,13.2,6.1,1.6,1,41015,49852
3100000US11340,11340,2007,8.699999999999999,7.4,12.9,14.8,14.5,18.4,12,6.8,2.3,2.2,40778,59338
3100000US11340,11340,2008,8.800000000000001,6.2,11.9,11.7,16,19.8,12.6,8.1,2.5,2.2,45178,56241
3100000US11340,11340,2009,11.7,6.3,15.4,12,12.2,19.8,10.7,8.5,2.1,1.3,41246,52840
310M100US11340,11340,2010,9.9,7.4,19.6,11,11,18.4,12.3,7.2,1.5,1.6,36770,51783
310M100US11340,11340,2011,7.4,8,12.7,13.3,15.5,20.4,8.6,10.2,3,.9,40943,53843
310M100US11340,11340,2012,9.1,8.5,14.1,12.2,16.7,16.3,9.6,8.800000000000001,2.4,2.3,39232,54882
3100000US11460,11460,2006,9,4.7,9.199999999999999,9,12,19.8,12.3,14.4,5.1,4.5,56817,75354
3100000US11460,11460,2007,7.2,4.6,9.5,8.4,12.1,17.9,12.9,15.3,6.4,5.7,61049,80077
3100000US11460,11460,2008,8.199999999999999,4.7,8.800000000000001,9.4,12.5,17,13.6,14.6,5.7,5.3,57848,78305
3100000US11460,11460,2009,8,4.9,9.800000000000001,9.4,13.8,17.5,11.4,15.2,4.8,5.2,54603,73803
310M100US11460,11460,2010,7.1,4.9,9.199999999999999,9.6,13.4,18.6,12.1,13.6,6.5,5.1,55880,76147
310M100US11460,11460,2011,9.9,4.2,9.9,9.199999999999999,12.3,14.6,11.6,15.5,6.5,6.3,56612,79240
310M100US11460,11460,2012,7.7,4.2,10.1,10.7,12.4,16.2,12.5,13.8,5.7,6.6,56330,79024
310M200US11460,11460,2013,8.5,4,9.6,8.699999999999999,12.9,14.8,11.4,15.9,6.6,7.5,59660,83022
310M200US11460,11460,2014,6.7,3,8.5,8.699999999999999,13.5,17.3,11.2,17.2,7.1,6.9,62845,87399
310M200US11460,11460,2015,7.4,4.3,8.1,8.5,12.1,17.1,12,15.2,7.5,7.8,61977,86381
310M300US11460,11460,2016,7,4.6,7.5,8.9,11.3,15.5,12.2,15.5,8.1,9.5,65601,94215
3100000US11500,11500,2006,11.9,7.7,15.3,14.1,14.3,18.2,9.4,6.3,1.6,1.1,36241,48047
3100000US11500,11500,2007,12.9,7.9,14.9,11,14.8,17.3,11.1,6.9,2.3,.9,37074,49389
3100000US11500,11500,2008,10.4,9.699999999999999,12.3,10.2,17,18.7,12,7.2,1.6,.7,40056,49907
3100000US11500,11500,2009,15.1,8,14.2,10.8,15.4,15.6,10.6,6.2,2,2.1,36527,48867
310M100US11500,11500,2010,14.5,8.699999999999999,14,11,13.4,17.1,10.3,7.7,1.8,1.5,36675,48098
310M100US11500,11500,2011,11.5,8.199999999999999,14.4,12,15.6,19.9,8.699999999999999,7.2,1.1,1.4,39037,49969
310M100US11500,11500,2012,10.9,7.5,14.5,12.5,17,17.4,7.8,8.9,2.1,1.4,39169,51617
310M200US11500,11500,2013,14,7.3,12.2,15.3,15.5,17.1,8.699999999999999,6.6,1.8,1.4,36205,48969
310M200US11500,11500,2014,12.6,8.4,11.2,11.5,14.4,19.5,8.4,9.9,2.4,1.8,41428,52858
310M200US11500,11500,2015,8,7.1,15,11.9,13.6,19.6,11.4,10.5,2.5,.4,42346,53327
310M300US11500,11500,2016,8.699999999999999,6.5,14.4,11.6,14.4,19,12.5,9.1,1.7,2.1,41687,58992
3100000US11540,11540,2006,6,5.5,10.9,10.3,16.1,21.6,15.9,10.7,1.7,1.2,51189,59743
3100000US11540,11540,2007,4.3,5.1,8.5,9.9,16,22.6,16.9,12.1,2.4,2.2,56846,66634
3100000US11540,11540,2008,4.1,3.6,8.699999999999999,10.4,17.2,22.3,15.1,12.5,3.2,2.9,54848,69423
3100000US11540,11540,2009,4.6,4.9,9.9,9.800000000000001,13.5,22.8,16.4,12.4,3,2.6,55669,68579
